WKT,latitude,longitude,street,postalcode,city,description
"POINT (4.35819 52.11233)",52.11233,4.35819,Groot Hoefijzerlaan, 2244 GG, Wassenaar,https://waarneming.nl/observation/375495717/
"POINT (4.21281 52.03292)",52.03292,4.21281,Madepolderweg, 2553 EG, Den Haag,https://waarneming.nl/observation/375633100/
"POINT (4.37518 51.91767)",51.91767,4.37518,Dijk, 3118 JM, Schiedam,https://waarneming.nl/observation/375802810/
"POINT (4.2649 52.04376)",52.04376,4.26490,Ruimzicht, 2543 RJ, Den Haag,https://waarneming.nl/observation/376390437/
"POINT (4.36294 52.12468)",52.12468,4.36294,Emmalaan, 2243 HC, Wassenaar,https://waarneming.nl/observation/376434736/
"POINT (4.33824 51.93411)",51.93411,4.33824,Bingelkruid, 3137 WE, Vlaardingen,https://waarneming.nl/observation/377601803/
"POINT (4.23208 52.05428)",52.05428,4.23208,Ouverturestraat, 2553 VP, Den Haag,https://waarneming.nl/observation/376494570/
"POINT (4.36568 52.12119)",52.12119,4.36568,Schouwweg, 2243 BP, Wassenaar,https://waarneming.nl/observation/376565754/
"POINT (4.70526 52.02546)",52.02546,4.70526,Heempad, 2804 AC, Gouda,https://waarneming.nl/observation/376563844/
"POINT (4.25396 51.91813)",51.91813,4.25396,Jan van Galenstraat, 3143 KC, Maassluis,https://waarneming.nl/observation/376806777/
"POINT (4.31809 52.09844)",52.09844,4.31809,Van Hogenhoucklaan, 2596 TE, Den Haag,https://waarneming.nl/observation/377077364/
"POINT (4.52046 52.07408)",52.07408,4.52046,Mien Ruyspad, 2728 BR, Zoetermeer,https://waarneming.nl/observation/377076780/
"POINT (4.71212 52.01799)",52.01799,4.71212,Graaf Florisweg, 2805 AL, Gouda,https://waarneming.nl/observation/377168481/
"POINT (4.25004 52.0697)",52.06970,4.25004,Pioenweg, 2565 AX, Den Haag,https://waarneming.nl/observation/377368453/
"POINT (4.71309 52.00407)",52.00407,4.71309,Gouderaksedijk, 2808 ND, Gouda,https://waarneming.nl/observation/377350850/
"POINT (4.27737 52.09898)",52.09898,4.27737,Johan van Oldenbarneveltlaan, 2582 NM, Den Haag,https://waarneming.nl/observation/377603817/
"POINT (4.7106 52.03061)",52.03061,4.71060,Weerestein, 2804 GG, Gouda,https://waarneming.nl/observation/377425788/
"POINT (4.3046 52.10264)",52.10264,4.30460,Duinroospad, 2597 KB, Den Haag,https://waarneming.nl/observation/377740596/
"POINT (4.35359 52.11309)",52.11309,4.35359,Laan van Koot, 2244 AV, Wassenaar,https://waarneming.nl/observation/379365708/
"POINT (4.28836 52.09953)",52.09953,4.28836,Hogeweg, 2585 JD, Den Haag,https://waarneming.nl/observation/379317948/
"POINT (4.4961 52.27725)",52.27725,4.49610,Langevelderweg, 2211 AD, Noordwijkerhout,https://waarneming.nl/observation/379353406/
"POINT (4.69305 52.02432)",52.02432,4.69305,Wilde Wingerdlaan, 2803 WC, Gouda,https://waarneming.nl/observation/379377253/
"POINT (4.3972 52.13746)",52.13746,4.39720,Prinses Marielaan, 2242 CJ, Wassenaar,https://waarneming.nl/observation/380228923/
"POINT (4.31037 51.93248)",51.93248,4.31037,Broekpolderpad, 3155 EZ, Vlaardingen,https://waarneming.nl/observation/379971191/
"POINT (4.31764 52.05195)",52.05195,4.31764,Prudens van Duysestraat, 2524 EA, Den Haag,https://waarneming.nl/observation/380096422/
"POINT (4.38282 52.1324)",52.13240,4.38282,Schouwweg, 2243 BG, Wassenaar,https://waarneming.nl/observation/380229220/
"POINT (4.7058 52.01443)",52.01443,4.70580,De Blaauwe Haan, 2801 AW, Gouda,https://waarneming.nl/observation/380384040/
"POINT (4.3854 52.14263)",52.14263,4.38540,Duinrell, 2242 SX, Wassenaar,https://waarneming.nl/observation/380414275/
"POINT (4.29008 52.05215)",52.05215,4.29008,Melis Stokelaan, 2533 CT, Den Haag,https://waarneming.nl/observation/380406279/
"POINT (4.3879 52.15836)",52.15836,4.38790,Van Bronckhorstlaan, 2242 PX, Wassenaar,https://waarneming.nl/observation/380454246/
"POINT (4.26514 51.91468)",51.91468,4.26514,Vlaardingsedijk, 3143 LT, Maassluis,https://waarneming.nl/observation/380485039/
"POINT (4.39513 51.90789)",51.90789,4.39513,Prins Bernhardlaan, 3116 HE, Schiedam,https://waarneming.nl/observation/380520647/
"POINT (4.23182 52.0625)",52.06250,4.23182,Laan van Meerdervoort, 2555 SH, Den Haag,https://waarneming.nl/observation/380810573/
