WKT,latitude,longitude,street,postalcode,city,description
"POINT (5.85477 51.78579)",51.78579,5.85477,Gladiolenstraat, 6581 XA, Malden,https://waarneming.nl/observation/345833844/
"POINT (5.17626 52.03145)",52.03145,5.17626,Odijkseweg, 3994 AR, Houten,https://waarneming.nl/observation/345879201/
"POINT (5.23888 51.94917)",51.94917,5.23888,van der Duyn van Maasdamstraat, 4102 GB, Culemborg,https://waarneming.nl/observation/346048554/
"POINT (6.0234 51.94978)",51.94978,6.02340,Rijksweg, 6921 AH, De Eng,https://waarneming.nl/observation/346050323/
"POINT (5.80928 51.81171)",51.81171,5.80928,Lankforst, 6538 GS, Nijmegen,https://waarneming.nl/observation/346060084/
"POINT (5.67352 51.96632)",51.96632,5.67352,Nassauweg, 6703 CE, Wageningen,https://waarneming.nl/observation/346109527/
"POINT (5.40415 51.91131)",51.91131,5.40415,Jeudestraat, 4011 GL, Zoelen,https://waarneming.nl/observation/346155658/
"POINT (5.85966 51.96337)",51.96337,5.85966,Hilversumstraat, 6843 DE, Arnhem,https://waarneming.nl/observation/346170212/
"POINT (4.76505 52.25635)",52.25635,4.76505,Dreef, 1431 WC, Aalsmeer,https://waarneming.nl/observation/346190014/
"POINT (5.18326 52.03085)",52.03085,5.18326,Binnenweg, 3994 AN, Houten,https://waarneming.nl/observation/346545803/
"POINT (5.33603 52.00704)",52.00704,5.33603,Wilhelminaweg, 3947 BL, Langbroek,https://waarneming.nl/observation/346530831/
"POINT (5.24948 51.81187)",51.81187,5.24948,Boschstraat, 5301 AG, Zaltbommel,https://waarneming.nl/observation/346504154/
"POINT (5.77449 51.82657)",51.82657,5.77449,Holtgesbroek, 6546 PL, Nijmegen,https://waarneming.nl/observation/346573183/
"POINT (5.91994 51.81808)",51.81808,5.91994,Uilenputweg, 6571 CC, Berg en Dal,https://waarneming.nl/observation/346614438/
"POINT (5.96302 52.18142)",52.18142,5.96302,Malkenschoten, 7333 NL, Apeldoorn,https://waarneming.nl/observation/346687437/
"POINT (4.67201 52.30665)",52.30665,4.67201,Lindholm, 2133 CT, Hoofddorp,https://waarneming.nl/observation/347190377/
"POINT (4.76875 52.26133)",52.26133,4.76875,Mendelstraat, 1431 KL, Aalsmeer,https://waarneming.nl/observation/346824818/
"POINT (4.73213 52.55796)",52.55796,4.73213,Simon Pauwelslaan, 1921 AX, Akersloot,https://waarneming.nl/observation/346857035/
"POINT (5.29345 52.04572)",52.04572,5.29345,Beukenhorst, 3972 HG, Driebergen-Rijsenburg,https://waarneming.nl/observation/346975594/
"POINT (6.3555 52.01297)",52.01297,6.35550,Zandvoortweg, 7021 EE, Zelhem,https://waarneming.nl/observation/347032989/
"POINT (5.4616 52.52353)",52.52353,5.46160,Karveel 37, 8231 BT, Lelystad,https://waarneming.nl/observation/349823416/
"POINT (5.80905 51.95627)",51.95627,5.80905,Berenklauw, 6665 HV, Driel,https://waarneming.nl/observation/347237502/
"POINT (5.74214 51.81041)",51.81041,5.74214,Grootvenseweg, 6603 AP, Alverna,https://waarneming.nl/observation/347376713/
"POINT (5.96594 52.19703)",52.19703,5.96594,Hofveld, 7331 KB, Apeldoorn,https://waarneming.nl/observation/347092788/
"POINT (5.1585 52.35505)",52.35505,5.15850,Minervasingel, 1363 ZJ, Almere,https://waarneming.nl/observation/347138744/
"POINT (5.37327 52.06231)",52.06231,5.37327,De Wingerd, 3951 XK, Maarn,https://waarneming.nl/observation/347196404/
"POINT (6.24542 51.96526)",51.96526,6.24542,Tijmveld, 7006 ST, Doetinchem,https://waarneming.nl/observation/347327375/
"POINT (4.95698 52.09187)",52.09187,4.95698,Indijk, 3481 GE, Harmelen,https://waarneming.nl/observation/347324929/
"POINT (5.18246 52.17525)",52.17525,5.18246,Dennenlaan, 3739 KL, Hollandsche Rading,https://waarneming.nl/observation/348128690/
"POINT (5.00813 52.10543)",52.10543,5.00813,Broederschaplaan, 3451 ZB, Vleuten,https://waarneming.nl/observation/347516864/
"POINT (5.17618 52.03511)",52.03511,5.17618,Kuipersgilde, 3994 CC, Houten,https://waarneming.nl/observation/347620847/
"POINT (5.82986 51.80455)",51.80455,5.82986,Thorbeckestraat, 6535 SK, Nijmegen,https://waarneming.nl/observation/348223908/
"POINT (5.92479 51.95492)",51.95492,5.92479,Keizerstraat, 6834 CR, Arnhem,https://waarneming.nl/observation/347725714/
"POINT (5.12952 52.05797)",52.05797,5.12952,Seychellen, 3524 JB, Utrecht,https://waarneming.nl/observation/347763204/
"POINT (5.22279 52.21981)",52.21981,5.22279,Zandheuvelweg, 3744 NA, Baarn,https://waarneming.nl/observation/347785026/
"POINT (6.34321 52.01109)",52.01109,6.34321,Mimosaweg, 7021 ZN, Zelhem,https://waarneming.nl/observation/347911776/
"POINT (5.09071 52.11377)",52.11377,5.09071,Doctor Max Euwestraat, 3554 EW, Utrecht,https://waarneming.nl/observation/348000264/
"POINT (6.55616 51.90072)",51.90072,6.55616,Klokkemakersweg, 7122 JM, Aalten,https://waarneming.nl/observation/348037882/
"POINT (5.3437 51.95505)",51.95505,5.34370,Lekbandijk, 4023 CA, Rijswijk (GLD),https://waarneming.nl/observation/347981368/
"POINT (5.0134 52.08753)",52.08753,5.01340,Wereldtuinenlaan, 3452 RZ, Vleuten,https://waarneming.nl/observation/348007556/
"POINT (5.89697 51.82571)",51.82571,5.89697,Catharinaweg, 6523 MT, Nijmegen,https://waarneming.nl/observation/348387817/
"POINT (5.38867 52.03354)",52.03354,5.38867,Sparrenlaan, 3941 MN, Doorn,https://waarneming.nl/observation/348089236/
"POINT (5.63724 52.02589)",52.02589,5.63724,Professor Oudpark, 6716 EJ, Ede,https://waarneming.nl/observation/348126438/
"POINT (5.92026 51.89216)",51.89216,5.92026,van der Mondeweg, 6685 BR, Haalderen,https://waarneming.nl/observation/348169931/
"POINT (5.67143 52.04209)",52.04209,5.67143,van Irhovenlaan, 6711 MN, Ede,https://waarneming.nl/observation/348197645/
"POINT (5.04966 51.90901)",51.90901,5.04966,Sekretaris Baxstraat, 4245 KM, Leerbroek,https://waarneming.nl/observation/348215378/
"POINT (6.00617 52.19683)",52.19683,6.00617,Klingmakersdonk, 7326 GE, Apeldoorn,https://waarneming.nl/observation/348344299/
"POINT (6.2928 51.97416)",51.97416,6.29280,Borneostraat, 7009 ES, Doetinchem,https://waarneming.nl/observation/348393610/
