WKT,latitude,longitude,street,postalcode,city,description
"POINT (4.43462 51.76927)",51.76927,4.43462,Oud-Cromstrijensedijk Westzijde, 3286 BS, Klaaswaal,https://waarneming.nl/observation/348178329/
"POINT (4.08448 51.91369)",51.91369,4.08448,Duinlaan, 3233 EB, Oostvoorne,https://waarneming.nl/observation/348030648/
"POINT (4.44788 51.76019)",51.76019,4.44788,Boomdijk, 3286 LD, Klaaswaal,https://waarneming.nl/observation/348067881/
"POINT (4.6722 51.78493)",51.78493,4.67220,Kometenlaan, 3318 JD, Dordrecht,https://waarneming.nl/observation/348163328/
"POINT (4.43465 51.76899)",51.76899,4.43465,Oud-Cromstrijensedijk Westzijde, 3286 BS, Klaaswaal,https://waarneming.nl/observation/348194438/
"POINT (4.26283 51.81892)",51.81892,4.26283,Israëllaan, 3214 EG, Zuidland,https://waarneming.nl/observation/348503467/
"POINT (4.31335 51.84115)",51.84115,4.31335,Nieuwe Westdijk, 3204 LC, Spijkenisse,https://waarneming.nl/observation/350472480/
"POINT (4.59239 51.91835)",51.91835,4.59239,De Vroedschap, 2922 VC, Krimpen aan den IJssel,https://waarneming.nl/observation/348614366/
"POINT (4.38929 51.80511)",51.80511,4.38929,Zinkweg, 3262 BH, Oud-Beijerland,https://waarneming.nl/observation/348945771/
"POINT (4.04848 51.76906)",51.76906,4.04848,Maanezeese Gorsdijk, 3248 LA, Melissant,https://waarneming.nl/observation/349071965/
"POINT (4.53945 51.95895)",51.95895,4.53945,Robert Kochplaats, 3068 JD, Rotterdam,https://waarneming.nl/observation/349612478/
"POINT (4.25896 52.06617)",52.06617,4.25896,Kornoeljestraat, 2564 LS, Den Haag,https://waarneming.nl/observation/349480046/
"POINT (4.64187 51.8414)",51.84140,4.64187,Aert de Gelderstraat, 3343 DC, Hendrik-Ido-Ambacht,https://waarneming.nl/observation/349934449/
"POINT (4.60592 51.93175)",51.93175,4.60592,Cycladen, 2904 VG, Capelle aan den IJssel,https://waarneming.nl/observation/349788583/
"POINT (4.84023 51.94887)",51.94887,4.84023,Van 't Hoffplaats, 2871 KL, Schoonhoven,https://waarneming.nl/observation/349768806/
"POINT (4.35954 52.12672)",52.12672,4.35954,Prins Frederiklaan, 2243 HW, Wassenaar,https://waarneming.nl/observation/349825786/
"POINT (4.62473 51.77855)",51.77855,4.62473,Bevershoekstraat, 3295 AE, 's-Gravendeel,https://waarneming.nl/observation/349866475/
"POINT (4.85581 51.94905)",51.94905,4.85581,Lopikerweg, 2871 AV, Schoonhoven,https://waarneming.nl/observation/350029180/
"POINT (4.16291 51.90614)",51.90614,4.16291,Maarland Noordzijde, 3231 CH, Brielle,https://waarneming.nl/observation/350559168/
"POINT (4.28843 51.71663)",51.71663,4.28843,Beneden Oostdijk, 3258 AB, Den Bommel,https://waarneming.nl/observation/351044893/
"POINT (4.67367 51.77794)",51.77794,4.67367,Zwaluwenburg, 3328 CN, Dordrecht,https://waarneming.nl/observation/351558146/
"POINT (4.21891 52.04778)",52.04778,4.21891,Monsterseweg, 2553 NR, Den Haag,https://waarneming.nl/observation/352275481/
"POINT (4.23824 51.86737)",51.86737,4.23824,Burggraafstraat, 3218 VB, Heenvliet,https://waarneming.nl/observation/352783285/
"POINT (4.19447 51.7115)",51.71150,4.19447,Oudelandsedijk, 3255 LN, Oude-Tonge,https://waarneming.nl/observation/353389901/
"POINT (4.53585 51.89015)",51.89015,4.53585,Darinckdelversstraat, 3078 WE, Rotterdam,https://waarneming.nl/observation/353315990/
"POINT (4.23695 51.90974)",51.90974,4.23695,,3181 TB, Rozenburg,https://waarneming.nl/observation/353822445/
"POINT (4.00884 51.83124)",51.83124,4.00884,Haveneind, 3252 LE, Goedereede,https://waarneming.nl/observation/353924383/
"POINT (4.47006 52.04449)",52.04449,4.47006,Raminhout, 2719 KM, Zoetermeer,https://waarneming.nl/observation/353880588/
"POINT (4.33341 51.82407)",51.82407,4.33341,Moleneind, 3209 AK, Hekelingen,https://waarneming.nl/observation/369160514/
"POINT (4.25975 51.92606)",51.92606,4.25975,Touwbaan, 3142 BV, Maassluis,https://waarneming.nl/observation/354125584/
"POINT (4.88792 51.85084)",51.85084,4.88792,Giessenlaan, 3381 AK, Giessenburg,https://waarneming.nl/observation/354165041/
"POINT (4.3227 52.02062)",52.02062,4.32270,Slanke Waterbies, 2286 JZ, Rijswijk,https://waarneming.nl/observation/354572896/
"POINT (4.43929 51.94286)",51.94286,4.43929,Pilotenpad, 3045 XK, Rotterdam,https://waarneming.nl/observation/355851745/
"POINT (4.62512 51.84426)",51.84426,4.62512,Aert van Nesstraat, 3342 CB, Hendrik-Ido-Ambacht,https://waarneming.nl/observation/356009774/
"POINT (4.63748 52.16857)",52.16857,4.63748,Comriekade, 2481 AE, Woubrugge,https://waarneming.nl/observation/356119579/
"POINT (4.45195 51.9431)",51.94310,4.45195,Copernicuslaan, 3045 BD, Rotterdam,https://waarneming.nl/observation/356514750/
"POINT (4.60963 51.93215)",51.93215,4.60963,Atolpad, 2904 VK, Capelle aan den IJssel,https://waarneming.nl/observation/356705633/
"POINT (4.81157 51.92743)",51.92743,4.81157,Den Hoeff, 2865 XR, Ammerstol,https://waarneming.nl/observation/356736478/
"POINT (4.45584 51.87618)",51.87618,4.45584,Schulpweg, 3084 NH, Rotterdam,https://waarneming.nl/observation/357122722/
"POINT (4.66613 51.77734)",51.77734,4.66613,Mildenburg, 3328 JE, Dordrecht,https://waarneming.nl/observation/357173022/
"POINT (4.98764 51.86232)",51.86232,4.98764,Burgemeester Schefferstraat, 4241 CZ, Arkel,https://waarneming.nl/observation/357794927/
"POINT (4.14187 51.84146)",51.84146,4.14187,Ireneplaats, 3223 XH, Hellevoetsluis,https://waarneming.nl/observation/371463178/
"POINT (4.53748 51.85104)",51.85104,4.53748,Botter, 2991 PB, Barendrecht,https://waarneming.nl/observation/357569296/
"POINT (4.51956 51.8697)",51.86970,4.51956,Maeterlinckweg, 3076 HX, Rotterdam,https://waarneming.nl/observation/357799149/
"POINT (4.65483 51.83277)",51.83277,4.65483,Brasem, 3344 JD, Hendrik-Ido-Ambacht,https://waarneming.nl/observation/357950418/
"POINT (4.16269 51.89652)",51.89652,4.16269,Spuilaan, 3232 EP, Brielle,https://waarneming.nl/observation/358439671/
"POINT (4.69013 51.80781)",51.80781,4.69013,Soembastraat, 3312 HV, Dordrecht,https://waarneming.nl/observation/358522767/
"POINT (4.34016 52.02032)",52.02032,4.34016,Haantje, 2288 CW, Rijswijk,https://waarneming.nl/observation/358793877/
"POINT (4.66735 51.86515)",51.86515,4.66735,Willem de Zwijgerlaan, 2951 XW, Alblasserdam,https://waarneming.nl/observation/359118704/
"POINT (4.72796 51.79665)",51.79665,4.72796,Aletta Jacobs-erf, 3315 EA, Dordrecht,https://waarneming.nl/observation/359051577/
"POINT (4.31395 51.90764)",51.90764,4.31395,van Maerlantlaan, 3132 PP, Vlaardingen,https://waarneming.nl/observation/359202491/
"POINT (4.44143 51.72678)",51.72678,4.44143,Schuringsedijk, 3281 KP, Numansdorp,https://waarneming.nl/observation/359424064/
"POINT (4.65981 51.80299)",51.80299,4.65981,Camphuijzenstraat, 3314 ZB, Dordrecht,https://waarneming.nl/observation/359664456/
"POINT (4.08281 51.90815)",51.90815,4.08281,F H G van Itersonlaan, 3233 EL, Oostvoorne,https://waarneming.nl/observation/361334632/
"POINT (4.69963 51.83864)",51.83864,4.69963,Lijsterbeshof, 3355 CC, Papendrecht,https://waarneming.nl/observation/359935099/
"POINT (4.11556 51.98106)",51.98106,4.11556,Seinpad, 3151 HP, Hoek van Holland,https://waarneming.nl/observation/360005562/
"POINT (4.56 52.25974)",52.25974,4.56000,Kanaalstraat, 2161 JR, Lisse,https://waarneming.nl/observation/360082267/
"POINT (4.25179 51.71855)",51.71855,4.25179,Tilsedijk, 3243 LH, Den Bommel,https://waarneming.nl/observation/360205874/
"POINT (4.69688 51.83453)",51.83453,4.69688,Haagbeukhof, 3355 AG, Papendrecht,https://waarneming.nl/observation/360340612/
"POINT (4.24162 51.90937)",51.90937,4.24162,Stuurboord, 3181 NM, Rozenburg,https://waarneming.nl/observation/360293903/
"POINT (4.37792 52.01504)",52.01504,4.37792,Korftlaan, 2616 LJ, Delft,https://waarneming.nl/observation/360507482/
"POINT (4.56127 52.25933)",52.25933,4.56127,Kanaalstraat, 2161 JD, Lisse,https://waarneming.nl/observation/360681910/
