WKT,latitude,longitude,street,postalcode,city,description
"POINT (5.33484 51.39223)",51.39223,5.33484,Hoekdries, 5511 KS, Knegsel,https://waarneming.nl/observation/339035303/
"POINT (5.78533 51.45979)",51.45979,5.78533,Schutsboom, 5751 JB, Deurne,https://waarneming.nl/observation/339034412/
"POINT (5.32644 51.67039)",51.67039,5.32644,Pettelaar, 5271 TR, Sint-Michielsgestel,https://waarneming.nl/observation/339060655/
"POINT (5.37813 51.50159)",51.50159,5.37813,Buseind, 5685 DE, Best,https://waarneming.nl/observation/339084724/
"POINT (4.28305 51.52068)",51.52068,4.28305,Den Berg, 4661 KZ, Halsteren,https://waarneming.nl/observation/339185374/
"POINT (4.39407 51.36384)",51.36384,4.39407,Postbaan, 4645 GT, Putte,https://waarneming.nl/observation/339192305/
"POINT (4.81802 51.54008)",51.54008,4.81802,Cauwelaerseweg, 4858 RH, Ulvenhout AC,https://waarneming.nl/observation/339193633/
"POINT (5.31396 51.36505)",51.36505,5.31396,Lange Voren, 5521 DC, Eersel,https://waarneming.nl/observation/339257657/
"POINT (4.85312 51.62868)",51.62868,4.85312,,4904 PX, Oosterhout,https://waarneming.nl/observation/339267073/
"POINT (4.66732 51.47884)",51.47884,4.66732,Akkermolenweg, 4881 BL, Zundert,https://waarneming.nl/observation/340207409/
"POINT (5.08418 51.58961)",51.58961,5.08418,Strausslaan, 5011 KE, Tilburg,https://waarneming.nl/observation/339452172/
"POINT (5.19553 51.34259)",51.34259,5.19553,De Strook, 5531 RT, Reusel,https://waarneming.nl/observation/340241243/
"POINT (4.85947 51.6175)",51.61750,4.85947,Rijksweg A27, 4903 RP, Oosterhout,https://waarneming.nl/observation/339513224/
"POINT (4.7902 51.56939)",51.56939,4.79020,Vogelenzanglaan, 4835 ED, Breda,https://waarneming.nl/observation/339673246/
"POINT (5.57894 51.42777)",51.42777,5.57894,Wegedoorn, 5666 AV, Geldrop,https://waarneming.nl/observation/340141625/
"POINT (4.85586 51.64806)",51.64806,4.85586,Van Vianenstraat, 4901 VE, Oosterhout,https://waarneming.nl/observation/339782360/
"POINT (5.57868 51.428)",51.42800,5.57868,Haagdoorn, 5666 BW, Geldrop,https://waarneming.nl/observation/340146410/
"POINT (5.71383 51.47318)",51.47318,5.71383,Jan Visserhof, 5709 EB, Helmond,https://waarneming.nl/observation/340136605/
"POINT (5.09319 51.60787)",51.60787,5.09319,Kalverstraat, 5011 XE, Tilburg,https://waarneming.nl/observation/340234229/
"POINT (5.36785 51.58399)",51.58399,5.36785,Gemondesestraat, 5298 NZ, Liempde,https://waarneming.nl/observation/340276399/
"POINT (4.42781 51.55213)",51.55213,4.42781,Holterbergsestraat, 4703 SR, Roosendaal,https://waarneming.nl/observation/340272471/
"POINT (5.17433 51.5509)",51.55090,5.17433,Oisterwijkseweg, 5066 XC, Moergestel,https://waarneming.nl/observation/340297788/
"POINT (5.71396 51.47284)",51.47284,5.71396,Jan Visserhof, 5709 EB, Helmond,https://waarneming.nl/observation/340378929/
"POINT (4.34374 51.51423)",51.51423,4.34374,Bergsebaan, 4622 RL, Bergen op Zoom,https://waarneming.nl/observation/340471015/
"POINT (4.7966 51.56926)",51.56926,4.79660,Lorentzstraat, 4834 XN, Breda,https://waarneming.nl/observation/341380692/
"POINT (5.42325 51.41663)",51.41663,5.42325,Frederikadreef, 5503 JV, Veldhoven,https://waarneming.nl/observation/340443447/
"POINT (5.17426 51.55044)",51.55044,5.17426,Akkerweg, 5066 WX, Moergestel,https://waarneming.nl/observation/340453018/
"POINT (5.78218 51.41608)",51.41608,5.78218,Rijksweg A67, 5721 SX, Ommel,https://waarneming.nl/observation/341009798/
"POINT (4.43423 51.69352)",51.69352,4.43423,Achterstraat, 4797 AT, Willemstad,https://waarneming.nl/observation/341096262/
"POINT (5.47994 51.42563)",51.42563,5.47994,Alberdingk Thijmlaan, 5615 EC, Eindhoven,https://waarneming.nl/observation/341098002/
"POINT (5.03908 51.54879)",51.54879,5.03908,Rissebeek, 5032 WC, Tilburg,https://waarneming.nl/observation/341142003/
"POINT (4.94456 51.54288)",51.54288,4.94456,Heuvelstraat, 5126 CM, Gilze,https://waarneming.nl/observation/341253982/
"POINT (4.94491 51.54306)",51.54306,4.94491,Tribunepad, 5126 DE, Gilze,https://waarneming.nl/observation/341254844/
"POINT (5.32484 51.66914)",51.66914,5.32484,Pettelaar, 5271 TR, Sint-Michielsgestel,https://waarneming.nl/observation/341597604/
"POINT (5.12292 51.55449)",51.55449,5.12292,Meierijpad, 5018 BA, Berkel-Enschot,https://waarneming.nl/observation/341671361/
"POINT (4.80351 51.5584)",51.55840,4.80351,Wolfslaardreef, 4834 SP, Breda,https://waarneming.nl/observation/341921436/
"POINT (4.73324 51.62089)",51.62089,4.73324,Moeraszegge, 4823 MH, Breda,https://waarneming.nl/observation/341836467/
"POINT (5.07657 51.69251)",51.69251,5.07657,Nieuwstraat, 5142 EC, Waalwijk,https://waarneming.nl/observation/342562079/
"POINT (4.3614 51.52028)",51.52028,4.36140,Runningstraat, 4726 BB, Heerle,https://waarneming.nl/observation/342689348/
"POINT (5.78587 51.41478)",51.41478,5.78587,Rijksweg A67, 5721 SX, Ommel,https://waarneming.nl/observation/342704383/
"POINT (4.94598 51.53839)",51.53839,4.94598,Groenvoort, 5126 EJ, Gilze,https://waarneming.nl/observation/343384866/
"POINT (4.70962 51.60139)",51.60139,4.70962,Molenstraat, 4841 CD, Prinsenbeek,https://waarneming.nl/observation/343135792/
"POINT (4.7989 51.5716)",51.57160,4.79890,Croystraat, 4834 JK, Breda,https://waarneming.nl/observation/343153237/
"POINT (5.095 51.60989)",51.60989,5.09500,Kalverstraat, 5011 XE, Tilburg,https://waarneming.nl/observation/343299069/
"POINT (4.98001 51.58317)",51.58317,4.98001,Schipluidenlaan, 5035 KE, Tilburg,https://waarneming.nl/observation/343300732/
"POINT (5.45301 51.4462)",51.44620,5.45301,Schootsestraat, 5616 RE, Eindhoven,https://waarneming.nl/observation/343407927/
"POINT (4.38255 51.43286)",51.43286,4.38255,Hollandseweg, 4635 BE, Huijbergen,https://waarneming.nl/observation/344009534/
"POINT (5.00133 51.56973)",51.56973,5.00133,Witbrantlaan West, 5036 AB, Tilburg,https://waarneming.nl/observation/343689506/
"POINT (5.48648 51.52713)",51.52713,5.48648,de Wadden, 5691 ZG, Son en Breugel,https://waarneming.nl/observation/343683174/
"POINT (4.86242 51.66033)",51.66033,4.86242,Appelaar, 4907 KG, Oosterhout,https://waarneming.nl/observation/343675818/
"POINT (4.61003 51.44592)",51.44592,4.61003,Groenestraat, 4885 LB, Achtmaal,https://waarneming.nl/observation/343728754/
"POINT (4.78898 51.61435)",51.61435,4.78898,Wuustwezelstraat, 4826 GA, Breda,https://waarneming.nl/observation/343860953/
"POINT (4.93746 51.63292)",51.63292,4.93746,Schoolstraat, 5104 JN, Dongen,https://waarneming.nl/observation/344219620/
"POINT (4.9425 51.54082)",51.54082,4.94250,Nonnenpad, 5126 DD, Gilze,https://waarneming.nl/observation/343832363/
"POINT (4.36277 51.51756)",51.51756,4.36277,Kerkpad, 4726 AL, Heerle,https://waarneming.nl/observation/344016703/
"POINT (4.64698 51.59205)",51.59205,4.64698,Rijsdijk, 4871 JS, Etten-Leur,https://waarneming.nl/observation/348097089/
"POINT (5.48634 51.52612)",51.52612,5.48634,Amelandlaan, 5691 ZR, Son en Breugel,https://waarneming.nl/observation/344014415/
"POINT (5.17495 51.5506)",51.55060,5.17495,Industrieweg, 5066 XJ, Moergestel,https://waarneming.nl/observation/346245580/
"POINT (4.66624 51.58999)",51.58999,4.66624,Wevershof, 4871 KW, Etten-Leur,https://waarneming.nl/observation/344067148/
"POINT (4.69911 51.49774)",51.49774,4.69911,Oekelsbos, 4891 RL, Rijsbergen,https://waarneming.nl/observation/344186102/
"POINT (5.13545 51.60964)",51.60964,5.13545,Koekoeksbloem, 5071 GC, Udenhout,https://waarneming.nl/observation/344201968/
"POINT (4.27216 51.47253)",51.47253,4.27216,Lobenpolder, 4617 MP, Bergen op Zoom,https://waarneming.nl/observation/344226395/
"POINT (5.10835 51.55155)",51.55155,5.10835,Hoevenseweg, 5017 AG, Tilburg,https://waarneming.nl/observation/344555100/
"POINT (5.32348 51.73044)",51.73044,5.32348,Pastoor Claassenstraat, 5236 XE, 's-Hertogenbosch,https://waarneming.nl/observation/344338228/
"POINT (4.73877 51.587)",51.58700,4.73877,Heilaarpark, 4814 NJ, Breda,https://waarneming.nl/observation/344543331/
"POINT (5.40074 51.51077)",51.51077,5.40074,Monseigneur Zwijsenstraat, 5683 HC, Best,https://waarneming.nl/observation/344349567/
"POINT (5.50955 51.74563)",51.74563,5.50955,Ruusbroecgaarde, 5343 JH, Oss,https://waarneming.nl/observation/344381807/
"POINT (5.03955 51.52468)",51.52468,5.03955,Keuterstraatje, 5051 PG, Goirle,https://waarneming.nl/observation/344454874/
"POINT (5.12296 51.50059)",51.50059,5.12296,Grote Voort, 5081 HE, Hilvarenbeek,https://waarneming.nl/observation/344513667/
"POINT (5.50415 51.43397)",51.43397,5.50415,Hugo van der Goeslaan, 5643 TW, Eindhoven,https://waarneming.nl/observation/344516223/
"POINT (4.38818 51.52486)",51.52486,4.38818,Keldermansstraat, 4724 AT, Wouw,https://waarneming.nl/observation/344568719/
"POINT (5.34617 51.32715)",51.32715,5.34617,Jeneverbesdreef, 5571 AW, Bergeijk,https://waarneming.nl/observation/344569388/
"POINT (4.65724 51.47897)",51.47897,4.65724,Pastoryehof, 4882 EA, Klein Zundert,https://waarneming.nl/observation/344574622/
"POINT (4.47182 51.5159)",51.51590,4.47182,Odiliadonk, 4707 TK, Roosendaal,https://waarneming.nl/observation/344584747/
"POINT (5.04779 51.52218)",51.52218,5.04779,Bodepad, 5051 EJ, Goirle,https://waarneming.nl/observation/344756263/
"POINT (5.74329 51.40831)",51.40831,5.74329,Industrielaan, 5721 BC, Asten,https://waarneming.nl/observation/344644458/
"POINT (4.32763 51.59004)",51.59004,4.32763,Gebroeders Delhezstraat, 4651 ZW, Welberg,https://waarneming.nl/observation/344968872/
"POINT (4.33533 51.50974)",51.50974,4.33533,Bergsebaan, 4622 RM, Bergen op Zoom,https://waarneming.nl/observation/344705414/
"POINT (5.66431 51.48913)",51.48913,5.66431,Merelstraat, 5702 PN, Helmond,https://waarneming.nl/observation/344719979/
"POINT (5.13155 51.49177)",51.49177,5.13155,Marsstraat, 5081 TH, Hilvarenbeek,https://waarneming.nl/observation/344738033/
"POINT (4.9779 51.58328)",51.58328,4.97790,Schipluidenlaan, 5035 KK, Tilburg,https://waarneming.nl/observation/344748207/
"POINT (5.41908 51.42551)",51.42551,5.41908,Pijpereind, 5502 PL, Veldhoven,https://waarneming.nl/observation/344772476/
"POINT (5.55999 51.62788)",51.62788,5.55999,Dilleveld, 5467 KN, Mariaheide,https://waarneming.nl/observation/344802548/
"POINT (5.14437 51.48198)",51.48198,5.14437,Adrianus Loefflaan, 5081 SH, Hilvarenbeek,https://waarneming.nl/observation/344838955/
