WKT,latitude,longitude,street,postalcode,city,description
"POINT (6.14678 52.31881)",52.31881,6.14678,Molenweg, 8121 PP, Boskamp,https://waarneming.nl/observation/364042959/
"POINT (6.85336 52.19334)",52.19334,6.85336,Ravenhorsthoek, 7546 EC, Usselo,https://waarneming.nl/observation/364097929/
"POINT (6.93118 52.79872)",52.79872,6.93118,Dwinger, 7823 VT, Emmen,https://waarneming.nl/observation/364632657/
"POINT (6.62264 52.46039)",52.46039,6.62264,Leliestraat, 7676 CJ, Westerhaar-Vriezenveensewijk,https://waarneming.nl/observation/364825659/
"POINT (6.53591 52.98104)",52.98104,6.53591,De Vallei, 9405 KG, Assen,https://waarneming.nl/observation/364976732/
"POINT (6.45425 52.39329)",52.39329,6.45425,Schuilenburgerweg, 7447 RP, Hellendoorn,https://waarneming.nl/observation/365077359/
"POINT (7.01208 52.93437)",52.93437,7.01208,Floralaan, 9581 TX, Musselkanaal,https://waarneming.nl/observation/365148268/
"POINT (6.89778 52.31642)",52.31642,6.89778,Het Nardusboer, 7576 WH, Oldenzaal,https://waarneming.nl/observation/365502833/
"POINT (6.78464 52.20808)",52.20808,6.78464,Beckumerstraat, 7548 PV, Boekelo,https://waarneming.nl/observation/365541214/
"POINT (6.4566 52.95365)",52.95365,6.45660,Kruirad, 9422 LN, Smilde,https://waarneming.nl/observation/365594575/
"POINT (6.87592 52.22906)",52.22906,6.87592,Het Nijhof, 7522 AD, Enschede,https://waarneming.nl/observation/365801974/
"POINT (6.81921 52.26081)",52.26081,6.81921,Oltmansstraat, 7552 VZ, Hengelo,https://waarneming.nl/observation/366121476/
"POINT (6.87229 52.21019)",52.21019,6.87229,Benjamin Willem ter Kuilestraat, 7545 KL, Enschede,https://waarneming.nl/observation/366927584/
"POINT (5.94167 52.9435)",52.94350,5.94167,Gaasterlandlaan, 8443 CN, Heerenveen,https://waarneming.nl/observation/367088279/
"POINT (6.69575 52.24223)",52.24223,6.69575,Platenkampsweg, 7497 MX, Bentelo,https://waarneming.nl/observation/367118324/
"POINT (6.41667 52.52607)",52.52607,6.41667,Kievitstraat, 7731 XL, Ommen,https://waarneming.nl/observation/367740080/
"POINT (6.63612 52.48071)",52.48071,6.63612,Kloosterdijk, 7693 PS, Sibculo,https://waarneming.nl/observation/368059583/
"POINT (6.23716 52.43451)",52.43451,6.23716,Canadastraat, 8141 AD, Heino,https://waarneming.nl/observation/368097096/
"POINT (6.27688 52.37728)",52.37728,6.27688,Larixplein, 8102 JL, Raalte,https://waarneming.nl/observation/368300330/
"POINT (6.74883 52.17042)",52.17042,6.74883,Kolenbranderweg, 7482 SE, Haaksbergen,https://waarneming.nl/observation/368377701/
"POINT (6.91944 52.22406)",52.22406,6.91944,Oostburgweg, 7533 BC, Enschede,https://waarneming.nl/observation/369399950/
"POINT (6.88234 52.21715)",52.21715,6.88234,Anna Blamanstraat, 7513 HH, Enschede,https://waarneming.nl/observation/369711757/
"POINT (6.55283 52.19852)",52.19852,6.55283,De Akkers, 7478 RD, Diepenheim,https://waarneming.nl/observation/369720410/
"POINT (6.79995 52.26047)",52.26047,6.79995,Brouwerij, 7553 RB, Hengelo,https://waarneming.nl/observation/370191111/
"POINT (6.76315 52.30982)",52.30982,6.76315,Pinksterbloem, 7623 CM, Borne,https://waarneming.nl/observation/370178894/
"POINT (6.15457 52.29286)",52.29286,6.15457,De Nieuwe Aanleg, 7431 BR, Diepenveen,https://waarneming.nl/observation/370520940/
"POINT (6.58365 52.22792)",52.22792,6.58365,Olijdamlaan, 7471 MC, Goor,https://waarneming.nl/observation/370639830/
"POINT (6.58378 52.2273)",52.22730,6.58378,Olijdamlaan, 7471 MC, Goor,https://waarneming.nl/observation/370640098/
"POINT (6.48941 52.18146)",52.18146,6.48941,Klompmakersweg, 7475 PE, Markelo,https://waarneming.nl/observation/370810646/
"POINT (7.0065 52.37367)",52.37367,7.00650,Meester Dingeldeinstraat, 7591 TH, Denekamp,https://waarneming.nl/observation/370914255/
"POINT (6.7786 52.21455)",52.21455,6.77860,Beldershoekweg, 7548 PZ, Boekelo,https://waarneming.nl/observation/370905528/
"POINT (6.21197 52.25093)",52.25093,6.21197,Doornenburg, 7423 BW, Deventer,https://waarneming.nl/observation/371134660/
"POINT (6.86756 52.22314)",52.22314,6.86756,Roelof van Schevenstraat, 7521 SM, Enschede,https://waarneming.nl/observation/371316732/
"POINT (6.93141 52.7094)",52.70940,6.93141,Verlengde Vaart Noordzijde, 7887 ER, Erica,https://waarneming.nl/observation/371350997/
"POINT (6.13189 52.52513)",52.52513,6.13189,Elzenlaan, 8024 ZE, Zwolle,https://waarneming.nl/observation/371572338/
"POINT (6.63531 52.19975)",52.19975,6.63531,Bekkampstraat, 7496 AH, Hengevelde,https://waarneming.nl/observation/371608350/
"POINT (6.13181 52.5249)",52.52490,6.13181,Elzenlaan, 8024 ZE, Zwolle,https://waarneming.nl/observation/372343428/
"POINT (6.26081 52.38119)",52.38119,6.26081,Kerspelweg, 8101 GP, Raalte,https://waarneming.nl/observation/371695837/
"POINT (7.0465 53.2021)",53.20210,7.04650,Beatrixstraat, 9682 SE, Oostwold,https://waarneming.nl/observation/372218014/
"POINT (6.89276 52.77678)",52.77678,6.89276,De Bukakkers, 7811 KZ, Emmen,https://waarneming.nl/observation/371706970/
"POINT (6.45201 52.60159)",52.60159,6.45201,Judith van Marlelaan, 7701 HV, Dedemsvaart,https://waarneming.nl/observation/371739697/
"POINT (5.9962 52.8783)",52.87830,5.99620,Sickengastraat, 8471 BN, Wolvega,https://waarneming.nl/observation/371883040/
"POINT (6.62251 52.4078)",52.40780,6.62251,Krijgerstraat, 7671 XZ, Vriezenveen,https://waarneming.nl/observation/372201065/
"POINT (6.56776 52.17983)",52.17983,6.56776,Kiefteweg, 7478 RJ, Diepenheim,https://waarneming.nl/observation/371907641/
"POINT (6.26161 52.38686)",52.38686,6.26161,de Gaarden, 8101 ZD, Raalte,https://waarneming.nl/observation/371967318/
"POINT (6.97334 52.20783)",52.20783,6.97334,Erve Schipholt, 7534 GP, Glanerbrug,https://waarneming.nl/observation/372078351/
"POINT (5.68836 53.23416)",53.23416,5.68836,De Tolve, 9044 NP, Bitgum,https://waarneming.nl/observation/372347511/
"POINT (6.89252 52.79827)",52.79827,6.89252,De Nijkampen, 7815 KN, Emmen,https://waarneming.nl/observation/372383861/
"POINT (6.22948 52.26016)",52.26016,6.22948,Nieuwedijk, 7425 ER, Deventer,https://waarneming.nl/observation/372456653/
"POINT (6.60941 52.40937)",52.40937,6.60941,Laan '40-'45, 7671 MX, Vriezenveen,https://waarneming.nl/observation/372968113/
"POINT (6.08232 52.53129)",52.53129,6.08232,Andantepad, 8031 KJ, Zwolle,https://waarneming.nl/observation/373274001/
"POINT (6.13861 52.27694)",52.27694,6.13861,Achterberggaarde, 7414 VE, Deventer,https://waarneming.nl/observation/373399233/
"POINT (6.331 52.65469)",52.65469,6.33100,Groot Oever, 7707 PW, Balkbrug,https://waarneming.nl/observation/373471955/
"POINT (6.77569 52.2555)",52.25550,6.77569,Dieselstraat, 7553 TK, Hengelo,https://waarneming.nl/observation/373592883/
"POINT (6.7866 52.996)",52.99600,6.78660,Varik, 9461 TK, Gieten,https://waarneming.nl/observation/373606166/
"POINT (6.0846 52.97556)",52.97556,6.08460,Rozenbergswijk, 8413 CW, Oudehorne,https://waarneming.nl/observation/373565577/
"POINT (5.84165 53.20987)",53.20987,5.84165,Groenesterpaad, 8925 AS, Leeuwarden,https://waarneming.nl/observation/373952686/
"POINT (6.5825 52.21825)",52.21825,6.58250,Weldammerlaan, 7475 MJ, Markelo,https://waarneming.nl/observation/373999398/
"POINT (6.84566 52.24085)",52.24085,6.84566,Witbreuksweg, 7522 LL, Enschede,https://waarneming.nl/observation/374239816/
"POINT (5.65782 53.27354)",53.27354,5.65782,Warmoesstraat, 9076 DM, St.-Annaparochie,https://waarneming.nl/observation/374198021/
"POINT (6.82614 52.25432)",52.25432,6.82614,Morshoekweg, 7552 PE, Hengelo,https://waarneming.nl/observation/374477004/
"POINT (6.86374 52.19587)",52.19587,6.86374,Broekheurne-ring, 7546 TA, Enschede,https://waarneming.nl/observation/374529125/
"POINT (5.93642 52.56267)",52.56267,5.93642,Oosterholtseweg, 8271 PT, IJsselmuiden,https://waarneming.nl/observation/374523397/
"POINT (6.86434 52.19607)",52.19607,6.86434,Broekheurne-ring, 7546 TA, Enschede,https://waarneming.nl/observation/374528908/
"POINT (6.47694 52.27865)",52.27865,6.47694,De Oplegger, 7462 PG, Rijssen,https://waarneming.nl/observation/374586661/
"POINT (5.67521 53.03858)",53.03858,5.67521,Groenedijk, 8605 CJ, Sneek,https://waarneming.nl/observation/374851315/
"POINT (6.44656 52.71384)",52.71384,6.44656,Schuttevaer, 7908 GB, Hoogeveen,https://waarneming.nl/observation/374796346/
"POINT (6.12604 52.47495)",52.47495,6.12604,Hollewandsweg, 8014 BE, Zwolle,https://waarneming.nl/observation/374879029/
"POINT (6.91346 52.26787)",52.26787,6.91346,Vliegbasis Twente, 7524 BH, Enschede,https://waarneming.nl/observation/375122525/
"POINT (6.7767 52.40641)",52.40641,6.77670,Prins Bernhardstraat, 7651 ED, Tubbergen,https://waarneming.nl/observation/375374332/
"POINT (5.9643 52.93725)",52.93725,5.96430,Tjeerd Roslaan, 8451 JA, Oudeschoot,https://waarneming.nl/observation/375491496/
"POINT (6.87617 52.1926)",52.19260,6.87617,Hertmebrink, 7544 DH, Enschede,https://waarneming.nl/observation/375492845/
"POINT (6.41259 52.52856)",52.52856,6.41259,Reigerstraat, 7731 ZR, Ommen,https://waarneming.nl/observation/375503114/
"POINT (6.70448 53.27289)",53.27289,6.70448,Bouwerschapweg, 9791 TJ, Ten Boer,https://waarneming.nl/observation/375705693/
"POINT (6.7967 52.26065)",52.26065,6.79670,Trijpstraat, 7553 MJ, Hengelo,https://waarneming.nl/observation/376119614/
"POINT (6.60101 52.85732)",52.85732,6.60101,Leemskoel, 9431 GN, Westerbork,https://waarneming.nl/observation/376337719/
"POINT (6.88978 52.26308)",52.26308,6.88978,Fokkerweg, 7524 PS, Enschede,https://waarneming.nl/observation/376465121/
"POINT (6.13451 52.26696)",52.26696,6.13451,Hobbemastraat, 7412 PE, Deventer,https://waarneming.nl/observation/376534783/
"POINT (5.79898 52.96433)",52.96433,5.79898,Jonkersbosje, 8501 GX, Joure,https://waarneming.nl/observation/376675346/
"POINT (6.90111 52.21557)",52.21557,6.90111,Rietmolenstraat, 7512 XV, Enschede,https://waarneming.nl/observation/377355263/
"POINT (6.07085 53.06009)",53.06009,6.07085,Van Lyndenlaan, 9244 DA, Beetsterzwaag,https://waarneming.nl/observation/377484027/
"POINT (6.12301 52.30378)",52.30378,6.12301,Bockhorsterstraat, 8121 PL, Olst,https://waarneming.nl/observation/377626890/
"POINT (6.77837 52.1965)",52.19650,6.77837,Nieuwe Beekweg, 7548 RK, Boekelo,https://waarneming.nl/observation/378190752/
"POINT (6.13316 52.26583)",52.26583,6.13316,Hobbemastraat, 7412 PD, Deventer,https://waarneming.nl/observation/379290651/
"POINT (6.61078 53.40326)",53.40326,6.61078,Kostersgang, 9988 RG, Usquert,https://waarneming.nl/observation/379445811/
"POINT (6.91565 52.31767)",52.31767,6.91565,Rhodoslaan, 7577 KN, Oldenzaal,https://waarneming.nl/observation/379459136/
"POINT (6.42211 52.50529)",52.50529,6.42211,Dennenlaan, 7731 AG, Ommen,https://waarneming.nl/observation/379719018/
"POINT (6.21032 52.23821)",52.23821,6.21032,Siemelinksweg, 7421 ZZ, Deventer,https://waarneming.nl/observation/379997883/
"POINT (6.46629 52.35118)",52.35118,6.46629,Bergleidingweg, 7441 AP, Nijverdal,https://waarneming.nl/observation/380027326/
"POINT (5.90794 53.21397)",53.21397,5.90794,Woelwijk, 9255 KE, Tytsjerk,https://waarneming.nl/observation/380351085/
"POINT (6.86052 52.33164)",52.33164,6.86052,Lemseloseveldweg, 7595 NJ, Weerselo,https://waarneming.nl/observation/380396649/
"POINT (6.20894 52.23925)",52.23925,6.20894,Siemelinksweg, 7421 ZZ, Deventer,https://waarneming.nl/observation/380459276/
"POINT (6.47138 52.72527)",52.72527,6.47138,van Limburg Stirumstraat, 7901 AS, Hoogeveen,https://waarneming.nl/observation/380521769/
"POINT (7.01152 52.93414)",52.93414,7.01152,Kerkstraat, 9581 TV, Musselkanaal,https://waarneming.nl/observation/380560254/
"POINT (6.20789 52.24081)",52.24081,6.20789,Hamburgweg, 7418 ES, Deventer,https://waarneming.nl/observation/380681835/
"POINT (6.20745 52.2423)",52.24230,6.20745,Siemelinksweg, 7422 RM, Deventer,https://waarneming.nl/observation/380756005/
"POINT (5.96935 52.53342)",52.53342,5.96935,Nieuwstad, 8274 AC, Wilsum,https://waarneming.nl/observation/380770029/
"POINT (6.58292 52.21833)",52.21833,6.58292,Weldammerlaan, 7475 MJ, Markelo,https://waarneming.nl/observation/381483421/
"POINT (6.1084 52.80276)",52.80276,6.10840,A32, 8346 MC, De Bult,https://waarneming.nl/observation/381921079/
