WKT,latitude,longitude,street,postalcode,city,description
"POINT (5.99463 50.86695)",50.86695,5.99463,Doctor Clemens Meulemanstraat, 6418 PC, Heerlen,https://waarneming.nl/observation/379287192/
"POINT (5.7159 50.77664)",50.77664,5.71590,Burgemeester Wijnandsstraat, 6245 PT, Mariadorp,https://waarneming.nl/observation/379764154/
"POINT (5.83623 51.00797)",51.00797,5.83623,Ringweg, 6141 LM, Limbricht,https://waarneming.nl/observation/379290510/
"POINT (5.97981 51.18691)",51.18691,5.97981,Burgemeester Hoppenerlaan, 6041 VS, Roermond,https://waarneming.nl/observation/379330161/
"POINT (5.70808 50.78071)",50.78071,5.70808,M.L. Kingstraat, 6245 GH, Mariadorp,https://waarneming.nl/observation/379355319/
"POINT (5.98232 50.87564)",50.87564,5.98232,Wijnmalenstraat, 6417 ET, Heerlen,https://waarneming.nl/observation/379357503/
"POINT (5.87509 50.98795)",50.98795,5.87509,Molenaarlaan, 6132 BA, Sittard,https://waarneming.nl/observation/379313137/
"POINT (5.83682 51.15973)",51.15973,5.83682,Kessenicherweg, 6017 AA, Thorn,https://waarneming.nl/observation/379402296/
"POINT (5.98797 51.32164)",51.32164,5.98797,Burgemeester Janssenring, 5988 GC, Panningen,https://waarneming.nl/observation/379317102/
"POINT (6.18707 51.47509)",51.47509,6.18707,Lingsforterweg, 5944 BN, Arcen,https://waarneming.nl/observation/379316143/
"POINT (5.67778 50.8317)",50.83170,5.67778,Mergelweg, 6212 XG, Maastricht,https://waarneming.nl/observation/379684717/
"POINT (5.69072 50.84381)",50.84381,5.69072,Henri Hermanspark, 6211 KE, Maastricht,https://waarneming.nl/observation/379630712/
"POINT (5.83915 50.96442)",50.96442,5.83915,Beatrixlaan, 6165 CW, Geleen,https://waarneming.nl/observation/379317606/
"POINT (5.79642 51.29005)",51.29005,5.79642,Venloseweg, 6035 RX, Ospel,https://waarneming.nl/observation/379321410/
"POINT (5.96402 50.94286)",50.94286,5.96402,Essenstraat, 6444 CL, Brunssum,https://waarneming.nl/observation/379320731/
"POINT (6.07587 50.90722)",50.90722,6.07587,Rimburgerweg, 6374 LB, Rimburg,https://waarneming.nl/observation/379338648/
"POINT (5.99322 50.86789)",50.86789,5.99322,Steve Bikostraat, 6418 PL, Heerlen,https://waarneming.nl/observation/379325010/
"POINT (5.701 50.83273)",50.83273,5.70100,Lage Weerd, 6229 AD, Maastricht,https://waarneming.nl/observation/379336536/
"POINT (5.99208 50.87216)",50.87216,5.99208,Zandweg, 6417 AD, Heerlen,https://waarneming.nl/observation/379346299/
"POINT (5.9927 50.87269)",50.87269,5.99270,Heerlerbaan, 6418 CA, Heerlen,https://waarneming.nl/observation/379346369/
"POINT (5.79738 51.0362)",51.03620,5.79738,Sluisweg, 6121 JR, Born,https://waarneming.nl/observation/379336070/
"POINT (5.73331 50.87069)",50.87069,5.73331,Ambyerstraat Noord, 6225 ED, Maastricht,https://waarneming.nl/observation/379714757/
"POINT (6.09717 51.3308)",51.33080,6.09717,Baron van Erplaan, 5991 BM, Baarlo,https://waarneming.nl/observation/379342237/
"POINT (6.14758 51.44364)",51.44364,6.14758,Grubbenvorsterweg, 5973 NB, Lottum,https://waarneming.nl/observation/379344149/
"POINT (5.98319 51.19558)",51.19558,5.98319,Vismarkt, 6041 LH, Roermond,https://waarneming.nl/observation/379347883/
"POINT (5.83868 51.01283)",51.01283,5.83868,Pastoor Janssenstraat, 6141 AM, Limbricht,https://waarneming.nl/observation/381237540/
"POINT (5.96408 50.95208)",50.95208,5.96408,Marshallstraat, 6441 JX, Brunssum,https://waarneming.nl/observation/379362381/
"POINT (5.70788 50.77266)",50.77266,5.70788,Caestertstraat, 6245 AM, Mariadorp,https://waarneming.nl/observation/379409646/
"POINT (6.00977 50.8687)",50.86870,6.00977,Palestinastraat, 6418 HB, Heerlen,https://waarneming.nl/observation/379368984/
"POINT (6.13839 51.33074)",51.33074,6.13839,Kasteellaan, 5932 AG, Tegelen,https://waarneming.nl/observation/379380081/
"POINT (5.781 50.94916)",50.94916,5.78100,Van Oldenbarneveldtstraat, 6181 BD, Catsop,https://waarneming.nl/observation/379431860/
"POINT (5.90822 50.91865)",50.91865,5.90822,Slot Aldeborglaan, 6432 JM, Heerlen,https://waarneming.nl/observation/379438856/
"POINT (5.68294 51.2626)",51.26260,5.68294,Vrakkerstraat, 6002 AW, Weert,https://waarneming.nl/observation/379468154/
