WKT,latitude,longitude,street,postalcode,city,description
"POINT (4.01834 51.36142)",51.36142,4.01834,Hoek en Bosch, 4587 LC, Kloosterzande,https://waarneming.nl/observation/362077648/
"POINT (3.79764 51.22531)",51.22531,3.79764,Nico Uyt den Bogaardstraat, 4551 EC, Sas van Gent,https://waarneming.nl/observation/354728734/
"POINT (3.80479 51.22857)",51.22857,3.80479,Sportkade, 4551 CP, Sas van Gent,https://waarneming.nl/observation/354717137/
"POINT (3.72921 51.47131)",51.47131,3.72921,Havenweg, 4455 TH, Nieuwdorp,https://waarneming.nl/observation/354795564/
"POINT (3.90576 51.50696)",51.50696,3.90576,Mecklenburglaan, 4461 TH, Goes,https://waarneming.nl/observation/354899877/
"POINT (3.84731 51.31204)",51.31204,3.84731,Driewegenstraat, 4536 HJ, Terneuzen,https://waarneming.nl/observation/354938450/
"POINT (3.60161 51.48267)",51.48267,3.60161,Volkerakstraat, 4335 VH, Middelburg,https://waarneming.nl/observation/354949002/
"POINT (4.09454 51.65064)",51.65064,4.09454,Zuidweg, 4311 RG, Bruinisse,https://waarneming.nl/observation/355207402/
"POINT (3.90993 51.49214)",51.49214,3.90993,Martinus Nijhofflaan, 4481 DH, Kloetinge,https://waarneming.nl/observation/355090612/
"POINT (3.90821 51.64661)",51.64661,3.90821,Talingstraat, 4302 WB, Zierikzee,https://waarneming.nl/observation/355288448/
"POINT (3.62185 51.49494)",51.49494,3.62185,Segeersweg, 4337 LD, Middelburg,https://waarneming.nl/observation/355231328/
"POINT (3.86515 51.32706)",51.32706,3.86515,Sperwer, 4533 GL, Terneuzen,https://waarneming.nl/observation/355429441/
"POINT (3.90391 51.43649)",51.43649,3.90391,'s-Gravenpoldersestraat, 4433 RV, Hoedekenskerke,https://waarneming.nl/observation/362077494/
"POINT (4.01379 51.36985)",51.36985,4.01379,Tulpstraat, 4587 AX, Kloosterzande,https://waarneming.nl/observation/355556397/
"POINT (3.76485 51.28232)",51.28232,3.76485,Spuikompark, 4553 BD, Philippine,https://waarneming.nl/observation/355582738/
"POINT (4.05566 51.25817)",51.25817,4.05566,Sint Janshof, 4564 EZ, Sint Jansteen,https://waarneming.nl/observation/355607503/
"POINT (3.87963 51.49492)",51.49492,3.87963,Albert Plesmanweg, 4462 GC, Goes,https://waarneming.nl/observation/355614184/
"POINT (3.5975 51.45843)",51.45843,3.59750,Zuiderzeestraat, 4388 GN, Oost-Souburg,https://waarneming.nl/observation/355620585/
"POINT (3.43709 51.27059)",51.27059,3.43709,Christiaansenstraat, 4527 BA, Aardenburg,https://waarneming.nl/observation/355782139/
"POINT (3.50631 51.54354)",51.54354,3.50631,Prelaatweg, 4363 NB, Aagtekerke,https://waarneming.nl/observation/355694003/
"POINT (3.90912 51.23611)",51.23611,3.90912,Ter Duinenstraat, 4574 PT, Zuiddorpe,https://waarneming.nl/observation/355776801/
"POINT (3.55746 51.38832)",51.38832,3.55746,Ghistelkerke, 4511 JP, Breskens,https://waarneming.nl/observation/355783895/
"POINT (3.60051 51.46294)",51.46294,3.60051,Van Visvlietstraat, 4388 CT, Oost-Souburg,https://waarneming.nl/observation/355813486/
"POINT (4.04277 51.25574)",51.25574,4.04277,Wilhelminastraat, 4564 AA, Sint Jansteen,https://waarneming.nl/observation/355937919/
"POINT (3.85348 51.31526)",51.31526,3.85348,Edvard Grieghof, 4536 ET, Terneuzen,https://waarneming.nl/observation/355940527/
"POINT (3.5527 51.3529)",51.35290,3.55270,Prins Bernhardstraat, 4507 BD, Schoondijke,https://waarneming.nl/observation/356448914/
"POINT (3.38871 51.30924)",51.30924,3.38871,Sint Brandarisstraat, 4524 BH, Sluis,https://waarneming.nl/observation/356040563/
"POINT (3.6616 51.37202)",51.37202,3.66160,Monseigneur Luijpenstraat, 4513 AE, Hoofdplaat,https://waarneming.nl/observation/356979225/
"POINT (4.09333 51.5974)",51.59740,4.09333,Tjalk, 4697 HK, Sint-Annaland,https://waarneming.nl/observation/356154799/
"POINT (4.07231 51.42288)",51.42288,4.07231,Kerkweg, 4414 AD, Waarde,https://waarneming.nl/observation/356326955/
"POINT (3.92898 51.65594)",51.65594,3.92898,Frederik Hendriklaan, 4301 NZ, Zierikzee,https://waarneming.nl/observation/356339721/
"POINT (3.57708 51.46533)",51.46533,3.57708,Kalkoensprenk, 4386 DD, Vlissingen,https://waarneming.nl/observation/356613276/
"POINT (3.61641 51.51465)",51.51465,3.61641,G. de Pagterstraat, 4333 MD, Middelburg,https://waarneming.nl/observation/356632353/
"POINT (4.02386 51.25229)",51.25229,4.02386,Vylainlaan, 4566 AV, Heikant,https://waarneming.nl/observation/356658338/
"POINT (3.78459 51.31423)",51.31423,3.78459,Kreeksingel, 4542 BN, Hoek,https://waarneming.nl/observation/356645857/
"POINT (3.73991 51.46865)",51.46865,3.73991,Prinses Christinastraat, 4455 BC, Nieuwdorp,https://waarneming.nl/observation/356660623/
"POINT (3.50913 51.3783)",51.37830,3.50913,Burgemeester J.C. Everaarslaan, 4503 AB, Groede,https://waarneming.nl/observation/356681450/
